,Month,Driver_id,Total_income,Total_km,Gender,Age,Vetek
0,04/2015,943,94857.04151337461,9537.97773861178,F,58.4,0.6
1,04/2015,966,79679.01848349521,7452.629478826504,M,46.8,0.1
2,04/2015,250,78174.44169884989,7500.744344014419,M,32.0,0.1
3,04/2015,156,100762.57598458907,8000.150686804585,,64.8,0.7
4,04/2015,67,105618.2494661668,9224.404283662856,M,60.7,0.4
5,04/2015,684,83706.36106591248,8831.5533517337,M,,0.5
6,04/2015,527,137354.33838698437,8620.580653492527,M,,0.4
7,04/2015,556,84876.19792412943,8213.030801231936,M,50.7,0.8
8,04/2015,446,74138.15803427702,8113.093299845833,M,49.5,0.1
9,04/2015,841,98255.58097653059,9232.569116686172,M,48.2,0.7
10,04/2015,126,102213.92896218749,8155.240977284862,M,53.2,0.7
11,04/2015,910,96333.65997673292,9100.237782880924,M,58.2,0.6
12,04/2015,112,79750.7663915039,8600.539346561582,M,54.8,0.9
13,04/2015,191,99108.25081013129,8131.7123456818645,M,50.4,0.1
14,04/2015,739,63646.77979672487,6608.905691551215,M,37.6,0.6
15,04/2015,579,97273.4014319194,8780.675399823704,M,41.3,0.3
16,04/2015,111,108274.35505821985,9097.2157034128,M,45.4,0.8
17,04/2015,285,161477.12328075652,8601.81828690835,M,47.3,1.0
18,04/2015,796,102858.53650506696,8437.50458900084,M,59.2,0.3
19,04/2015,310,103531.92956355578,8505.174296469484,M,42.2,0.8
20,04/2015,458,69434.2233147553,7559.606518570891,M,39.7,0.2
21,04/2015,884,107746.35707015947,7919.172076204506,M,64.1,0.6
22,04/2015,335,99306.22376482686,9911.939078681751,M,47.0,0.8
23,04/2015,521,63987.14130841284,6161.4172583685195,M,56.1,0.8
24,04/2015,887,81498.76544666645,9395.391813727578,M,,0.0
25,04/2015,601,98301.65034585603,9542.39578482515,M,39.8,0.2
26,04/2015,11,111837.04748829239,8132.446265214543,M,39.1,0.6
27,04/2015,624,94177.44060001864,8876.739263740694,M,52.8,0.7
28,04/2015,737,91599.5547308376,8650.46478543637,M,58.1,0.3
29,04/2015,823,78787.74464728458,8046.526326662909,M,50.6,0.3
30,04/2015,752,94540.77900181561,8166.35552877867,M,63.6,0.4
31,04/2015,732,114543.89171262452,8997.102482923832,M,54.1,0.5
32,04/2015,493,79991.93356199616,6670.3742608206085,M,61.1,0.2
33,04/2015,159,90252.56512465981,9157.688718936217,M,48.4,0.6
34,04/2015,225,130681.34348040134,8844.094250148655,M,,0.6
35,04/2015,784,91599.10048585312,7925.4389394567015,M,54.3,0.2
36,04/2015,171,79842.07992362112,8739.426578121916,M,49.4,0.4
37,04/2015,460,141110.92148373518,9256.350523563704,F,33.0,0.3
38,04/2015,408,93251.29581141178,7560.515212968141,M,65.0,0.9
39,04/2015,239,91125.27372219595,8548.119017302814,M,60.4,1.0
40,04/2015,812,150373.17137909116,8876.08295578019,M,54.7,0.9
41,04/2015,896,88755.47769107371,8204.643604495515,M,58.5,0.0
42,04/2015,354,101613.73685080321,9361.331127346912,M,65.2,0.4
43,04/2015,574,81638.98622421242,7830.146913592775,M,60.7,0.3
44,04/2015,186,86800.0203093805,8806.909880039804,M,65.7,0.6
45,04/2015,381,77684.49377361509,9877.213903096319,M,44.0,0.1
46,04/2015,898,83725.82874879177,8394.856554279782,M,46.5,0.0
47,04/2015,405,66929.49866587526,7135.421418898273,M,32.2,0.1
48,04/2015,439,84393.86899114166,8612.589285343398,M,65.2,0.3
49,04/2015,532,99895.40398129541,7375.376425864596,M,38.2,0.5
50,04/2015,665,103542.46693411922,9298.9312095169,M,,0.6
51,04/2015,962,116500.12272919464,9794.644264692603,,53.5,0.8
52,04/2015,303,94130.7075291446,7569.511280888268,M,37.0,0.6
53,04/2015,996,78187.22173312797,8100.6845181737835,M,41.0,0.5
54,04/2015,836,106875.46047335802,8691.062571470145,,55.4,0.2
55,04/2015,840,99001.20909376226,9229.104051412614,M,35.8,0.3
56,04/2015,459,60514.05347240449,6991.172033650682,M,36.2,0.4
57,04/2015,611,74048.46868642968,7490.225503618011,M,62.4,0.4
58,04/2015,467,112425.3843576034,9610.288482980133,M,,0.5
59,04/2015,786,84159.20384853888,6804.726634679287,M,46.5,0.0
60,04/2015,23,65851.92391582516,7149.208103779241,M,51.4,0.9
61,04/2015,302,103116.75936174371,9978.315530477532,M,47.2,0.2
62,04/2015,289,112370.97942943557,10027.761109620651,M,39.5,0.5
63,04/2015,155,91933.30523058979,9675.06850965883,M,57.3,0.4
64,04/2015,327,93133.80012319151,8888.898382253125,M,51.8,0.8
65,04/2015,114,83465.08469545945,9699.701740680453,M,61.1,0.9
66,04/2015,756,73150.12959341536,7552.013090776176,,54.8,0.3
67,04/2015,880,107933.59299657856,8203.01522993925,M,45.6,0.6
68,04/2015,660,102809.35910850368,9350.279234106876,M,56.5,0.9
69,04/2015,454,82117.4262307224,8009.116437592685,M,40.2,0.2
70,04/2015,969,73054.49739036919,9142.941081831885,F,62.8,0.7
71,04/2015,176,61480.27058255227,6747.473864644928,M,35.8,0.9
72,04/2015,432,121925.75308036998,9325.3815500838,M,47.3,0.9
73,04/2015,531,94768.69224824052,9751.83786855118,M,46.6,0.9
74,04/2015,101,86339.50207246059,9113.844634026622,M,,0.9
75,04/2015,738,99116.8125000619,9674.168466180192,M,36.7,0.3
76,04/2015,271,65484.13529349398,6731.806678233708,M,64.8,0.4
77,04/2015,423,77737.07745336306,8744.03088759283,M,59.1,0.6
78,04/2015,765,79114.63887931495,7692.301561473345,M,47.8,0.8
79,04/2015,691,106710.97827054976,8746.234280337741,M,44.8,0.4
80,04/2015,533,96213.01664126039,8733.539989983135,,35.8,0.1
81,04/2015,716,74563.669849083,7296.959309459267,M,39.8,1.0
82,04/2015,922,83152.75259285083,7909.53257514045,M,58.5,0.8
83,04/2015,174,127656.69901047577,10204.43793043691,M,46.1,0.9
