,Month,Driver_id,Total_income,Total_km,Gender,Age,Vetek
0,04/2015,943,1159129.15706683,11680.306986375821,F,58.4,0.6
1,04/2015,966,3726395.0920338607,7452.629478826504,M,46.8,0.1
2,04/2015,250,1315710.6933103083,7500.744344014419,M,32.0,0.1
3,04/2015,156,300049.2712986315,8000.150686804585,,64.8,0.7
4,04/2015,67,669604.0390034957,9224.404283662856,M,60.7,0.4
5,04/2015,684,648148.2120540045,8831.5533517337,M,,0.5
6,04/2015,527,157741.91642881843,8620.580653492527,M,,0.4
7,04/2015,556,385271.9119611112,8213.030801231936,M,50.7,0.8
8,04/2015,446,1020294.0035585559,11515.656415962347,M,49.5,0.1
9,04/2015,841,1320539.4629406785,9232.569116686172,M,48.2,0.7
10,04/2015,126,282757.725657021,8155.240977284862,M,53.2,0.7
11,04/2015,910,511966.81705498503,10413.376653369047,M,58.2,0.6
12,04/2015,112,668233.9237892589,8600.539346561582,M,54.7,0.9
13,04/2015,191,255916.68787733995,12431.499505496853,M,50.4,0.1
14,04/2015,739,71025.22311042956,6608.905691551215,M,37.6,0.6
15,04/2015,579,2998399.757694996,8780.675399823704,M,41.3,0.3
16,04/2015,111,3168917.6513464022,9097.2157034128,M,45.4,0.8
17,04/2015,285,181697.61599868245,10033.965177696524,M,47.3,1.0
18,04/2015,796,273305.1296042336,8437.50458900084,M,59.2,0.3
19,04/2015,310,116580.02211839432,8505.174296469484,M,42.2,0.8
20,04/2015,458,571853.4122631133,7559.606518570891,M,39.7,0.2
21,04/2015,884,336574.94248076895,10629.447587377032,M,64.1,0.6
22,04/2015,335,417677.82194964617,9911.939078681751,M,47.0,0.8
23,04/2015,521,398356.28784909565,7570.319195896737,M,56.1,0.8
24,04/2015,887,4235470.803614831,9395.391813727578,M,,0.0
25,04/2015,601,2991922.9217238543,9542.39578482515,M,39.8,0.2
26,04/2015,11,527799.3453902978,8132.446265214543,M,39.1,0.6
27,04/2015,624,2382071.5696859015,8876.739263740694,M,52.8,0.7
28,04/2015,737,2213595.4700547177,8650.46478543637,M,58.1,0.3
29,04/2015,823,3790918.4120308687,8046.526326662909,M,50.6,0.3
30,04/2015,752,545573.1901484956,8166.35552877867,M,63.6,0.4
31,04/2015,732,301934.48925603135,8997.102482923832,M,54.1,0.5
32,04/2015,493,262307.0813038334,11173.105423300616,M,61.1,0.2
33,04/2015,159,356920.311903402,9157.688718936217,M,48.4,0.6
34,04/2015,225,586105.0553337156,12232.073625944562,M,,0.6
35,04/2015,784,306947.0227995256,7925.4389394567015,M,54.3,0.2
36,04/2015,171,517121.4308566973,8739.426578121916,M,49.4,0.4
37,04/2015,460,894899.5779276836,9256.350523563704,F,33.0,0.3
38,04/2015,408,1187661.2169129134,8863.53313934464,M,65.0,0.9
39,04/2015,239,533959.1266614944,8548.119017302814,M,60.4,1.0
40,04/2015,812,4532223.349020352,17877.724612619877,M,54.7,0.9
41,04/2015,896,573839.1475364334,8204.643604495515,M,58.5,0.0
42,04/2015,354,586162.9051724542,10314.081631515195,M,65.2,0.4
43,04/2015,574,232944.48384298867,7830.146913592775,M,60.7,0.3
44,04/2015,186,621348.352897655,8806.909880039804,M,65.7,0.6
45,04/2015,381,5287095.865476637,9877.213903096319,M,44.0,0.1
46,04/2015,898,3348482.0958407014,8394.856554279782,M,46.5,0.0
47,04/2015,405,295027.2379403267,7135.421418898273,M,32.2,0.1
48,04/2015,439,906126.5612597027,11468.694782479877,M,65.2,0.3
49,04/2015,532,1021668.4221804771,13238.411273088499,M,38.2,0.5
50,04/2015,665,316311.0118900757,9298.9312095169,M,,0.6
51,04/2015,962,153372.57365296216,9794.644264692603,,53.5,0.8
52,04/2015,303,2778649.955152005,7569.511280888268,M,37.0,0.6
53,04/2015,996,1048771.0395583974,10824.158187268738,M,41.0,0.5
54,04/2015,836,323421.58214468195,8691.062571470145,,55.4,0.2
55,04/2015,840,900421.4287895911,11564.899107744402,M,35.8,0.3
56,04/2015,459,269472.6659130127,6991.172033650682,M,36.2,0.4
57,04/2015,611,2919596.9966229964,10087.659665599382,M,62.4,0.4
58,04/2015,467,340463.79833738355,9610.288482980133,M,,0.5
59,04/2015,786,1816106.9811624254,9196.562784347114,M,46.5,0.0
60,04/2015,23,73124.18950870514,7149.208103779241,M,51.4,0.9
61,04/2015,302,535476.3887744808,12385.335969501624,M,47.2,0.2
62,04/2015,289,2503989.4495346844,10027.761109620651,M,39.5,0.5
63,04/2015,155,744331.0450562123,9675.06850965883,M,57.3,0.4
64,04/2015,327,600324.0800875726,8888.898382253125,M,51.8,0.8
65,04/2015,114,255702.51681368606,9699.701740680453,M,61.1,0.9
66,04/2015,756,1465792.2468205267,10147.9477147765,,54.8,0.3
67,04/2015,880,2901833.5312569886,8203.01522993925,M,45.6,0.6
68,04/2015,660,454571.64715656464,12246.879755680877,M,56.5,0.9
69,04/2015,454,567287.8646642694,9209.847851399643,M,40.2,0.2
70,04/2015,969,1256308.3667412456,9142.941081831885,F,62.8,0.7
71,04/2015,176,144164.19310831287,6747.473864644928,M,35.8,0.9
72,04/2015,432,1265611.9606490247,9325.3815500838,M,47.3,0.9
73,04/2015,531,8754403.205614984,15830.760659759264,M,46.6,0.9
74,04/2015,101,335800.01639957924,9113.844634026622,M,,0.9
75,04/2015,738,835202.6288825078,9674.168466180192,M,36.7,0.3
76,04/2015,271,727891.9810253711,6731.806678233708,M,64.8,0.4
77,04/2015,423,1487674.9662892816,8744.03088759283,M,59.1,0.6
78,04/2015,765,5590023.406570834,7692.301561473345,M,47.8,0.8
79,04/2015,691,1578371.899537238,11358.170848781654,M,44.8,0.4
80,04/2015,533,3087746.398831859,8733.539989983135,,35.8,0.1
81,04/2015,716,385733.3181027862,7296.959309459267,M,39.8,1.0
82,04/2015,922,7562497.984984896,13804.627349540528,M,58.5,0.8
83,04/2015,174,657758.8233679851,10204.43793043691,M,46.1,0.9
84,04/2015,200,3543884.8327842862,10997.087530859275,M,39.0,0.7
85,04/2015,316,104655.93133513497,8901.531890829243,M,34.8,0.2
86,04/2015,307,671420.915689179,10647.920597108976,M,65.0,0.7
87,04/2015,882,3129425.738389692,9856.350903081091,M,33.7,0.6
